Date,Temperature
2020/1/1,20.6
2020/1/2,20.2
2020/1/3,20.7
2020/1/4,20.9
2020/1/5,20.9
2020/1/6,21.2
2020/1/7,21.8
2020/1/8,21.9
2020/1/9,21.4
2020/1/10,22.1
2020/1/11,21.9
2020/1/12,19.9
2020/1/13,19.6
2020/1/14,20.7
2020/1/15,19.8
2020/1/16,20.9
2020/1/17,19.6
2020/1/18,18
2020/1/19,19
2020/1/20,19.8
2020/1/21,20.8
2020/1/22,22.6
2020/1/23,23.9
2020/1/24,24
2020/1/25,21.7
2020/1/26,21.4
2020/1/27,19.2
2020/1/28,16.4
2020/1/29,16.4
2020/1/30,14.9
2020/1/31,15.1
2020/2/1,17
2020/2/2,18.6
2020/2/3,19.6
2020/2/4,19.8
2020/2/5,20.2
2020/2/6,19.7
2020/2/7,20.7
2020/2/8,19.4
2020/2/9,19.5
2020/2/10,19.5
2020/2/11,20.3
2020/2/12,23.2
2020/2/13,23.8
2020/2/14,24.6
2020/2/15,25.8
2020/2/16,23.5
2020/2/17,14.8
2020/2/18,17.1
2020/2/19,18.7
2020/2/20,19.6
2020/2/21,20.9
2020/2/22,21.5
2020/2/23,21.4
2020/2/24,22.2
2020/2/25,24.3
2020/2/26,24.4
2020/2/27,23.5
2020/2/28,23.8
2020/2/29,24.4
2020/3/1,25.1
2020/3/2,23.5
2020/3/3,23.8
2020/3/4,23.4
2020/3/5,20.9
2020/3/6,22.2
2020/3/7,24.4
2020/3/8,25.3
2020/3/9,25.5
2020/3/10,24.1
2020/3/11,22.1
2020/3/12,24.4
2020/3/13,26
2020/3/14,20.4
2020/3/15,19.9
2020/3/16,21.7
2020/3/17,22.5
2020/3/18,22.9
2020/3/19,24.6
2020/3/20,24.8
2020/3/21,24.9
2020/3/22,25.4
2020/3/23,26.1
2020/3/24,25.4
2020/3/25,25.8
2020/3/26,27.1
2020/3/27,27.2
2020/3/28,25.9
2020/3/29,23
2020/3/30,25.7
2020/3/31,26.3
2020/4/1,26.2
2020/4/2,23.4
2020/4/3,24.3
2020/4/4,24.6
2020/4/5,23.1
2020/4/6,21.5
2020/4/7,22.5
2020/4/8,23.1
2020/4/9,24.4
2020/4/10,24.5
2020/4/11,24.6
2020/4/12,21.9
2020/4/13,20.8
2020/4/14,21.7
2020/4/15,23
2020/4/16,24.1
2020/4/17,25.5
2020/4/18,26.7
2020/4/19,27.7
2020/4/20,27.2
2020/4/21,26.8
2020/4/22,25.3
2020/4/23,24.5
2020/4/24,22.8
2020/4/25,24.4
2020/4/26,26.6
2020/4/27,26.7
2020/4/28,26.2
2020/4/29,26.1
2020/4/30,27.2
2020/5/1,27.6
2020/5/2,28.5
2020/5/3,28
2020/5/4,28.8
2020/5/5,28.7
2020/5/6,29.5
2020/5/7,30.2
2020/5/8,29.4
2020/5/9,29.7
2020/5/10,29.7
2020/5/11,29.8
2020/5/12,27.9
2020/5/13,28.4
2020/5/14,28.8
2020/5/15,29.5
2020/5/16,29.9
2020/5/17,29
2020/5/18,29.1
2020/5/19,25.6
2020/5/20,25.7
2020/5/21,25.1
2020/5/22,24.9
2020/5/23,26.5
2020/5/24,27.5
2020/5/25,28.9
2020/5/26,27.7
2020/5/27,25.8
2020/5/28,27.8
2020/5/29,28.4
2020/5/30,29.3
2020/5/31,30.1
2020/6/1,30.3
2020/6/2,30.3
2020/6/3,30.1
2020/6/4,30.4
2020/6/5,29.9
2020/6/6,28.6
2020/6/7,28.8
2020/6/8,26.9
2020/6/9,28.7
2020/6/10,29
2020/6/11,30
2020/6/12,30.6
2020/6/13,30.1
2020/6/14,29.7
2020/6/15,30.3
2020/6/16,30.1
2020/6/17,30.4
2020/6/18,30.3
2020/6/19,30.4
2020/6/20,30.7
2020/6/21,29.8
2020/6/22,30.4
2020/6/23,30.2
2020/6/24,30.1
2020/6/25,29.8
2020/6/26,28.8
2020/6/27,29.9
2020/6/28,30.3
2020/6/29,30.6
2020/6/30,28.7
2020/7/1,27.9
2020/7/2,28.5
2020/7/3,29.8
2020/7/4,29.6
2020/7/5,29.8
2020/7/6,29.8
2020/7/7,29.6
2020/7/8,30.6
2020/7/9,30.7
2020/7/10,31.1
2020/7/11,31.4
2020/7/12,31.4
2020/7/13,31.2
2020/7/14,29.8
2020/7/15,28.1
2020/7/16,29
2020/7/17,30.3
2020/7/18,31.1
2020/7/19,30.3
2020/7/20,28.5
2020/7/21,29.8
2020/7/22,29.6
2020/7/23,29.6
2020/7/24,30
2020/7/25,29.8
2020/7/26,29
2020/7/27,29.4
2020/7/28,27.7
2020/7/29,28.1
2020/7/30,28.5
2020/7/31,28.3
2020/8/1,30
2020/8/2,27.6
2020/8/3,25.7
2020/8/4,25.7
2020/8/5,29.1
2020/8/6,29
2020/8/7,29
2020/8/8,28.9
2020/8/9,29.6
2020/8/10,29.1
2020/8/11,28.4
2020/8/12,29.9
2020/8/13,28
2020/8/14,27.8
2020/8/15,27.4
2020/8/16,27.9
2020/8/17,27.8
2020/8/18,28.5
2020/8/19,28.2
2020/8/20,29.4
2020/8/21,28
2020/8/22,26.4
2020/8/23,27.9
2020/8/24,28
2020/8/25,27.5
2020/8/26,25.2
2020/8/27,25.7
2020/8/28,27.4
2020/8/29,28.9
2020/8/30,28.1
2020/8/31,27.7
2020/9/1,28.9
2020/9/2,29
2020/9/3,28.2
2020/9/4,28.3
2020/9/5,29.2
2020/9/6,28.7
2020/9/7,28.1
2020/9/8,29.2
2020/9/9,29.7
2020/9/10,28.6
2020/9/11,28.6
2020/9/12,28.1
2020/9/13,28.5
2020/9/14,28.6
2020/9/15,29
2020/9/16,29.9
2020/9/17,30.3
2020/9/18,29
2020/9/19,28.2
2020/9/20,28
2020/9/21,28.5
2020/9/22,29
2020/9/23,29.3
2020/9/24,28.2
2020/9/25,26.8
2020/9/26,28.1
2020/9/27,28.8
2020/9/28,28.6
2020/9/29,28.2
2020/9/30,28.3
2020/10/1,27.6
2020/10/2,28.1
2020/10/3,28.3
2020/10/4,29.2
2020/10/5,28.5
2020/10/6,28.6
2020/10/7,27.2
2020/10/8,26.5
2020/10/9,26.8
2020/10/10,27.2
2020/10/11,28.2
2020/10/12,28.5
2020/10/13,28.5
2020/10/14,28.7
2020/10/15,28.2
2020/10/16,27.5
2020/10/17,26.6
2020/10/18,26.1
2020/10/19,26.7
2020/10/20,26.8
2020/10/21,26.5
2020/10/22,26.5
2020/10/23,23.6
2020/10/24,25.3
2020/10/25,25.7
2020/10/26,27.1
2020/10/27,27.7
2020/10/28,27.3
2020/10/29,27.5
2020/10/30,25.7
2020/10/31,25.1
2020/11/1,25.1
2020/11/2,25.9
2020/11/3,25.5
2020/11/4,24.6
2020/11/5,25.5
2020/11/6,24.1
2020/11/7,25.8
2020/11/8,24.6
2020/11/9,23.4
2020/11/10,23.4
2020/11/11,24.1
2020/11/12,24.2
2020/11/13,24.8
2020/11/14,24.9
2020/11/15,25.1
2020/11/16,25.9
2020/11/17,26
2020/11/18,26.2
2020/11/19,27.1
2020/11/20,28
2020/11/21,27.5
2020/11/22,27.1
2020/11/23,26
2020/11/24,25.5
2020/11/25,25.5
2020/11/26,25.1
2020/11/27,24.7
2020/11/28,23.6
2020/11/29,22.9
2020/11/30,22.9
2020/12/1,22.8
2020/12/2,23.4
2020/12/3,21.7
2020/12/4,21.7
2020/12/5,22.6
2020/12/6,23
2020/12/7,24.4
2020/12/8,22.9
2020/12/9,21.8
2020/12/10,23.6
2020/12/11,24.4
2020/12/12,24.2
2020/12/13,24
2020/12/14,22.9
2020/12/15,20.8
2020/12/16,21.1
2020/12/17,20.9
2020/12/18,22.3
2020/12/19,21.1
2020/12/20,20.5
2020/12/21,19.2
2020/12/22,20.5
2020/12/23,21.3
2020/12/24,22.9
2020/12/25,21.6
2020/12/26,22.2
2020/12/27,21.5
2020/12/28,22.8
2020/12/29,24.7
2020/12/30,18.4
2020/12/31,14.1
2021/1/1,15.9
2021/1/2,16.8
2021/1/3,18.4
2021/1/4,20
2021/1/5,20.4
2021/1/6,19.3
2021/1/7,17
2021/1/8,12.9
2021/1/9,12.8
2021/1/10,15
2021/1/11,16.2
2021/1/12,13.8
2021/1/13,16.4
2021/1/14,17.1
2021/1/15,18
2021/1/16,18.3
2021/1/17,17.7
2021/1/18,16.5
2021/1/19,18.2
2021/1/20,19.6
2021/1/21,22.1
2021/1/22,21.8
2021/1/23,22.1
2021/1/24,21.3
2021/1/25,20.9
2021/1/26,21.4
2021/1/27,20.5
2021/1/28,19.8
2021/1/29,18.5
2021/1/30,18.2
2021/1/31,19.2
2021/2/1,20.3
2021/2/2,20.5
2021/2/3,20.3
2021/2/4,20.8
2021/2/5,20.3
2021/2/6,21
2021/2/7,21.7
2021/2/8,21.2
2021/2/9,20.5
2021/2/10,20.6
2021/2/11,20.8
2021/2/12,20
2021/2/13,21.2
2021/2/14,21.2
2021/2/15,19.3
2021/2/16,21.4
2021/2/17,20.9
2021/2/18,18.6
2021/2/19,18.5
2021/2/20,18.3
2021/2/21,19.7
2021/2/22,21.3
2021/2/23,21.3
2021/2/24,22.4
2021/2/25,23.2
2021/2/26,24.2
2021/2/27,23.5
2021/2/28,23.5
2021/3/1,24.3
2021/3/2,23.5
2021/3/3,21.3
2021/3/4,23.1
2021/3/5,24.2
2021/3/6,25
2021/3/7,23.9
2021/3/8,22.9
2021/3/9,23.6
2021/3/10,23
2021/3/11,23.7
2021/3/12,24.3
2021/3/13,23.8
2021/3/14,23.2
2021/3/15,24.2
2021/3/16,25
2021/3/17,26.2
2021/3/18,25.9
2021/3/19,26.2
2021/3/20,25.9
2021/3/21,24.7
2021/3/22,19.2
2021/3/23,21.1
2021/3/24,21.1
2021/3/25,22.6
2021/3/26,24
2021/3/27,25.7
2021/3/28,26.6
2021/3/29,26.3
2021/3/30,27
2021/3/31,27.4
2021/4/1,27.5
2021/4/2,27.6
2021/4/3,27.4
2021/4/4,27
2021/4/5,24.9
2021/4/6,23.2
2021/4/7,23.6
2021/4/8,24
2021/4/9,22.9
2021/4/10,23.9
2021/4/11,24.8
2021/4/12,25.8
2021/4/13,26.6
2021/4/14,26.5
2021/4/15,26.2
2021/4/16,26.2
2021/4/17,26.7
2021/4/18,26
2021/4/19,23.7
2021/4/20,25.2
2021/4/21,27
2021/4/22,27
2021/4/23,27.5
2021/4/24,26.7
2021/4/25,24.1
2021/4/26,23.4
2021/4/27,24
2021/4/28,25.1
2021/4/29,24
2021/4/30,25.8
2021/5/1,26
2021/5/2,26.6
2021/5/3,26.2
2021/5/4,27.9
2021/5/5,28.7
2021/5/6,28.2
2021/5/7,29
2021/5/8,29
2021/5/9,29.4
2021/5/10,28.9
2021/5/11,29.3
2021/5/12,30.2
2021/5/13,29.8
2021/5/14,30.3
2021/5/15,30.2
2021/5/16,29.7
2021/5/17,30.2
2021/5/18,30
2021/5/19,29.8
2021/5/20,30.4
2021/5/21,30.9
2021/5/22,31.1
2021/5/23,30
2021/5/24,30.5
2021/5/25,29.3
2021/5/26,29.9
2021/5/27,30.7
2021/5/28,30.7
2021/5/29,29.9
2021/5/30,26.6
2021/5/31,28.1
2021/6/1,27.9
2021/6/2,29.9
2021/6/3,30.8
2021/6/4,29.9
2021/6/5,26.2
2021/6/6,24.6
2021/6/7,26.9
2021/6/8,28.7
2021/6/9,27.9
2021/6/10,29.1
2021/6/11,29
2021/6/12,29.3
2021/6/13,29.8
2021/6/14,30.2
2021/6/15,29
2021/6/16,26.8
2021/6/17,28
2021/6/18,28.9
2021/6/19,27
2021/6/20,26.7
2021/6/21,26.8
2021/6/22,26.3
2021/6/23,26.3
2021/6/24,25.6
2021/6/25,26.6
2021/6/26,27
2021/6/27,26
2021/6/28,26
2021/6/29,25.2
2021/6/30,30.5
2021/7/1,29.8
2021/7/2,29.8
2021/7/3,29.7
2021/7/4,30
2021/7/5,29.2
2021/7/6,28.8
2021/7/7,30
2021/7/8,29.6
2021/7/9,30
2021/7/10,30.6
2021/7/11,30.3
2021/7/12,30.1
2021/7/13,29.1
2021/7/14,28.2
2021/7/15,27.1
2021/7/16,27.5
2021/7/17,28.1
2021/7/18,28.8
2021/7/19,28.5
2021/7/20,26.8
2021/7/21,28.9
2021/7/22,29.3
2021/7/23,29
2021/7/24,28.5
2021/7/25,27.5
2021/7/26,28.9
2021/7/27,29.5
2021/7/28,28.5
2021/7/29,28
2021/7/30,26.5
2021/7/31,25.3
2021/8/1,26.2
2021/8/2,25.6
2021/8/3,26.9
2021/8/4,27.1
2021/8/5,26.3
2021/8/6,27.4
2021/8/7,26.7
2021/8/8,26.4
2021/8/9,27.4
2021/8/10,27.6
2021/8/11,28.1
2021/8/12,27.9
2021/8/13,27
2021/8/14,26.4
2021/8/15,28.2
2021/8/16,29.4
2021/8/17,29.6
2021/8/18,29.1
2021/8/19,28.9
2021/8/20,29.3
2021/8/21,28
2021/8/22,28.8
2021/8/23,29.7
2021/8/24,29.1
2021/8/25,28.4
2021/8/26,27.3
2021/8/27,28.8
2021/8/28,29.7
2021/8/29,29.8
2021/8/30,26.8
2021/8/31,28.1
2021/9/1,28.5
2021/9/2,27.9
2021/9/3,26.7
2021/9/4,26.9
2021/9/5,27.8
2021/9/6,28.5
2021/9/7,29.3
2021/9/8,29.6
2021/9/9,29.8
2021/9/10,30.4
2021/9/11,28.3
2021/9/12,27.6
2021/9/13,27
2021/9/14,28.4
2021/9/15,28.7
2021/9/16,29.2
2021/9/17,29.2
2021/9/18,29
2021/9/19,29.2
2021/9/20,30.2
2021/9/21,28.2
2021/9/22,28.8
2021/9/23,28.4
2021/9/24,27.9
2021/9/25,28.6
2021/9/26,29.3
2021/9/27,29.7
2021/9/28,29.4
2021/9/29,29.7
2021/9/30,30
2021/10/1,29.2
2021/10/2,28.3
2021/10/3,29.1
2021/10/4,29.6
2021/10/5,29
2021/10/6,29
2021/10/7,28.2
2021/10/8,28.6
2021/10/9,29.4
2021/10/10,29.5
2021/10/11,26.9
2021/10/12,25.5
2021/10/13,25.7
2021/10/14,25.8
2021/10/15,27.8
2021/10/16,28
2021/10/17,27.1
2021/10/18,26.8
2021/10/19,26.8
2021/10/20,27.4
2021/10/21,27.4
2021/10/22,25.6
2021/10/23,26.4
2021/10/24,26.6
2021/10/25,25.9
2021/10/26,27
2021/10/27,27.1
2021/10/28,26.7
2021/10/29,25.8
2021/10/30,25.9
2021/10/31,26
2021/11/1,26.5
2021/11/2,26.4
2021/11/3,26.7
2021/11/4,26.8
2021/11/5,26.8
2021/11/6,28.3
2021/11/7,27.2
2021/11/8,26
2021/11/9,22.4
2021/11/10,22.5
2021/11/11,22.8
2021/11/12,23.8
2021/11/13,23.3
2021/11/14,22.8
2021/11/15,24.3
2021/11/16,24.7
2021/11/17,24.7
2021/11/18,24.8
2021/11/19,25.1
2021/11/20,25.6
2021/11/21,26.5
2021/11/22,24.5
2021/11/23,21.2
2021/11/24,21.9
2021/11/25,22.1
2021/11/26,23.7
2021/11/27,23.5
2021/11/28,23.5
2021/11/29,24
2021/11/30,23.8
2021/12/1,20.1
2021/12/2,19.6
2021/12/3,19.6
2021/12/4,19.5
2021/12/5,20
2021/12/6,21.2
2021/12/7,21.5
2021/12/8,21.8
2021/12/9,21.8
2021/12/10,21.6
2021/12/11,22.2
2021/12/12,22.3
2021/12/13,21.7
2021/12/14,21.5
2021/12/15,23.2
2021/12/16,23.2
2021/12/17,21.6
2021/12/18,19
2021/12/19,20.9
2021/12/20,20
2021/12/21,21.5
2021/12/22,23.4
2021/12/23,23.1
2021/12/24,23.6
2021/12/25,20.8
2021/12/26,18.5
2021/12/27,17.5
2021/12/28,19
2021/12/29,20.5
2021/12/30,20.8
2021/12/31,19.6
